,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mount gambier,64,GB,1590338725,72,53.66,-1.85,61.0,4.0
88,klaksvik,45,FO,1590338725,87,62.23,-6.59,46.4,5.82
89,beloha,27,MG,1590338725,84,-25.17,45.05,69.01,11.1
90,estelle,40,US,1590338713,70,29.85,-90.11,89.01,10.29
91,geraldton,90,AU,1590338725,63,-28.77,114.6,66.2,24.16
92,bluff,78,NZ,1590338725,92,-46.6,168.33,50.74,9.84
93,takab,87,IR,1590338725,41,36.4,47.11,64.17,5.41
94,sur,49,OM,1590338725,67,22.57,59.53,86.52,14.43
95,kolosovka,76,RU,1590338725,70,56.47,73.61,62.33,4.36
96,nikolayevsk-na-amure,78,RU,1590338726,90,53.14,140.73,35.62,2.28
97,clyde river,1,US,1590338726,69,41.3,-82.98,84.0,10.29
98,leo,44,BF,1590338726,30,11.1,-2.1,96.76,4.09
99,port alfred,0,CD,1590338721,57,-7.03,29.76,73.85,3.96
100,faanui,45,PF,1590338726,81,-16.48,-151.75,81.72,21.61
101,sinnamary,100,GF,1590338726,82,5.38,-52.95,82.36,6.15
102,petropavlovsk-kamchatskiy,56,RU,1590338670,75,53.05,158.65,41.0,2.24
103,mangai,80,CD,1590338726,72,-4.05,19.53,78.98,2.15
104,nikolskoye,77,RU,1590338726,25,59.7,30.79,62.6,13.42
105,dingli,7,MT,1590338726,38,35.86,14.38,77.0,10.29
106,inhambane,0,MZ,1590338726,77,-23.86,35.38,69.76,7.18
107,kontagora,29,NG,1590338727,33,10.4,5.47,96.91,6.4
108,mandalgovi,62,MN,1590338727,68,45.76,106.27,49.42,10.89
109,tura,96,IN,1590338727,97,25.52,90.22,75.22,9.57
110,deputatskiy,100,RU,1590338727,98,69.3,139.9,34.92,5.48
111,havoysund,18,NO,1590338727,53,71.0,24.66,51.8,11.41
112,zaragoza,100,ES,1590338727,41,41.66,-0.88,80.01,2.24
113,tsaratanana,11,MG,1590338727,68,-16.78,47.65,71.1,8.61
114,port hardy,0,CD,1590338727,57,-7.03,29.76,73.85,3.96
115,quba,94,AZ,1590338540,77,41.36,48.52,51.03,3.36
116,iqaluit,90,CA,1590338727,68,63.75,-68.51,26.6,8.05
117,challapata,0,BO,1590338728,30,-18.9,-66.77,52.57,7.43
118,georgetown,40,MY,1590338728,100,5.41,100.34,80.6,3.36
119,hohhot,40,CN,1590338728,76,40.81,111.65,53.6,4.47
120,pervomayskoye,100,RU,1590338728,70,43.92,46.71,57.69,4.25
121,carnarvon,48,AU,1590338728,63,-24.87,113.63,69.62,21.54
122,chingirlau,98,KZ,1590338728,70,51.09,54.08,61.92,9.42
123,conakry,65,GN,1590338728,78,9.54,-13.68,83.01,10.63
124,pontes e lacerda,75,BR,1590338728,62,-4.83,-43.37,87.8,6.93
125,urumqi,20,CN,1590338728,42,43.8,87.6,68.0,8.95
126,high level,90,US,1590338728,88,33.61,-95.75,82.99,11.41
127,huilong,97,CN,1590338728,89,31.81,121.66,71.01,6.67
128,bredasdorp,27,ZA,1590338728,55,-34.53,20.04,64.4,5.82
129,fairbanks,1,US,1590338729,66,64.84,-147.72,55.0,0.27
